year,customer,pocket price,demand,covestro,tosoh,wanhua,kmc,basf,sabic,huntsman,other,vn_pp,seap_pp,apac_pp
2022,AN THANH PHAT,2.0,2799.5,1399.5,1000,200,200,0,0,0,0,2.1,2.11,2.07
2022,DOAN MINH,1.88,5258.0,1678.0,1400,1280,900,0,0,0,0,2.1,2.11,2.07
2022,GIA LONG,1.95,359.5,99.5,260,0,0,0,0,0,0,2.1,2.11,2.07
2022,HMC,2.13,920.0,480.0,0,240,200,0,0,0,0,2.1,2.11,2.07
2022,LONG DANG,2.35,2620.0,680.0,700,900,340,0,0,0,0,2.1,2.11,2.07
2022,NGOC DAN,1.92,5134.0,3874.0,400,420,340,100,0,0,0,2.1,2.11,2.07
2022,SANAKY,2.11,1800.0,1400.0,0,400,0,0,0,0,0,2.1,2.11,2.07
2022,TONMAT,2.31,2420.0,220.0,1000,800,0,0,0,400,0,2.1,2.11,2.07
2022,WANEK,2.29,171.0,171.0,0,0,0,0,0,0,0,2.1,2.11,2.07
2023,AN THANH PHAT,1.63,3000.0,1620.0,1100,200,80,0,0,0,0,1.621,1.65,1.84
2023,DOAN MINH,1.62,5740.0,1380.0,800,2900,660,0,0,0,0,1.621,1.65,1.84
2023,GIA LONG,1.6,340.0,100.0,80,160,0,0,0,0,0,1.621,1.65,1.84
2023,HMC,1.66,420.0,240.0,0,100,80,0,0,0,0,1.621,1.65,1.84
2023,LONG DANG,1.64,2600.0,400.0,2000,200,0,0,0,0,0,1.621,1.65,1.84
2023,NEW MATERIAL,1.62,840.0,280.0,260,300,0,0,0,0,0,1.621,1.65,1.84
2023,NGOC DAN,1.6,5120.0,3520.0,600,300,500,200,0,0,0,1.621,1.65,1.84
2023,SANAKY,1.6,1000.0,700.0,0,300,0,0,0,0,0,1.621,1.65,1.84
2023,TONMAT,1.63,2360.0,60.0,1300,1000,0,0,0,0,0,1.621,1.65,1.84
2023,WANEK,1.61,153.0,153.0,0,0,0,0,0,0,0,1.621,1.65,1.84
2024,AN THANH PHAT,1.89,4570.0,2140.0,1350,420,360,0,300,0,0,1.87,1.84,1.9
2024,DOAN MINH,1.87,7660.0,1700.0,1160,3000,1800,0,0,0,0,1.87,1.84,1.9
2024,GIA LONG,1.94,340.0,120.0,100,120,0,0,0,0,0,1.87,1.84,1.9
2024,HMC,1.87,520.0,480.0,0,0,40,0,0,0,0,1.87,1.84,1.9
2024,JM ENTERPRISE,1.82,200.0,200.0,0,0,0,0,0,0,0,1.87,1.84,1.9
2024,LONG DANG,1.88,2500.0,300.0,2000,100,100,0,0,0,0,1.87,1.84,1.9
2024,NEW MATERIAL,1.86,830.0,420.0,160,0,0,250,0,0,0,1.87,1.84,1.9
2024,NGOC DAN,1.86,5820.0,3520.0,700,500,400,700,0,0,0,1.87,1.84,1.9
2024,PUS,1.93,3860.0,320.0,80,2300,660,500,0,0,0,1.87,1.84,1.9
2024,SANAKY,1.72,1600.0,500.0,0,900,200,0,0,0,0,1.87,1.84,1.9
2024,SHORT HILLS,1.97,300.0,300.0,0,0,0,0,0,0,0,1.87,1.84,1.9
2024,TONMAT,1.9,2340.0,100.0,1360,140,300,0,0,440,0,1.87,1.84,1.9
2024,WANEK,1.79,102.0,102.0,0,0,0,0,0,0,0,1.87,1.84,1.9
2025,AN THANH PHAT,1.9,4650.0,280.0,0,0,0,0,0,0,0,1.85,1.95,1.86
2025,DOAN MINH,1.83,8000.0,520.0,0,0,0,0,0,0,0,1.85,1.95,1.86
2025,GIA LONG,1.95,380.0,40.0,0,0,0,0,0,0,0,1.85,1.95,1.86
2025,HMC,1.85,800.0,340.0,0,0,0,0,0,0,0,1.85,1.95,1.86
2025,JM ENTERPRISE,1.52,200.0,80.0,0,0,0,0,0,0,0,1.85,1.95,1.86
2025,LONG DANG,2.01,2220.0,40.0,0,0,0,0,0,0,0,1.85,1.95,1.86
2025,NEW MATERIAL,1.79,960.0,240.0,0,0,0,0,0,0,0,1.85,1.95,1.86
2025,NGOC DAN,1.9,6160.0,1120.0,0,0,0,0,0,0,0,1.85,1.95,1.86
2025,SANAKY,0.0,1900.0,0.0,0,0,0,0,0,0,0,1.85,1.95,1.86
2025,TONMAT,0.0,2425.0,0.0,0,0,0,0,0,0,0,1.85,1.95,1.86
2025,WANEK,0.0,120.0,0.0,0,0,0,0,0,0,0,1.85,1.95,1.86
2025,PUS,0.0,4100.0,0.0,0,0,0,0,0,0,0,1.85,1.95,1.86
2025,SHORT HILLS,1.94,305.0,280.0,0,0,0,0,0,0,0,1.85,1.95,1.86
